label,clean_text
3,guess must really expensive for whole family stayed poland really miss
0,understand concerns look foundation contributions
0,someone let snakes house bet kill that bugger when get hands him #huckfp
0,fake people irritate
0,#fmf protesters interested reasoned debate #intimidation #violence amp #disruption get demands met
2,lunatic asylum the place optimism flourishes
1,damn gud #premiere #lethalweapon #funny #serious
0,bully
3,appears fire alarm disapproves cooking style
0,going get city next round revenge
0,#trump #afraid big bad #hillary #election #presidentialdebate #presidentialelection #orangehitler #skip #hide #coward #fear
1,sitting wrapped fluffy blanket incense burning listening bon iver drinking mulled wine
0,petition non maghrebi poc stop buying couscous white grocery stores boiling that couscous trash
1,thank happy birthday well
1,watch amazing live broadcast #musically
1,ceremony next time meet involve burning something possibly booze caffeine
0,dear please tell bus drivers obstruction side don pull oncoming traffic causing vehs swerve #fuming
3,alternate reality comments section give poems cheery thumbs disappointed thumbs
0,may suggest meal made beans onions amp garlic day class #revenge
0,highly suggest looking online company help send package overseas not ever ever use
3,she began squirm beneath struggling get relentless grasp when realized attempt useless
1,remember reflect reginald denny night much like like #charlotte think gun lobby must rejoicing
0,looking forward then opened #stuartspecial literally yelled #umbrage
1,something opening mail pleasing
3,when doe run opposite side #depression
0,awful music take walk right cliff
1,day elated taking pto tomorrow doneeeee but
2,pessimist sees difficulty every opportunity optimist sees opportunity every difficulty sir winston churchill
1,think ian knew pavel knew charlie bet rob cackle glee heard happened #thearchers
1,maybe constipation issues not know dates relieve affliction way jose
0,smh remove ideologically bankrupt opportunistic establishment they burning bridges social contracts #anger
3,lost nova around hole #sadness
0,#unga pakistan clearly shows face cowardliness blatant lies its time #india act upon terror
1,aqw always stayed art style competition create detailed art time
0,mine party decide party slowly transformed vengeful hell cult white male resentment
1,kirby black panther cool animated panel
2,you fight elephants wrestled pigs #quoteoftheday
0,flat party instantly get bollocked #fuming
3,betelgeuse sloth lively dedicated tenacious regulus greed humbly content ley gluttony starving hungry
1,#ldf shall weekend #spraypainting #greenwichmarket #core #lilylou #fret amp #benoakley
3,awe man free
1,wanna shake tree
3,nsure mind clouded
0,gotta fast furious
0,ffs things come back haunt cringe bad cringe terrible gun
0,never let see frown
0,country gave safe house #osama bin #laden dangerous contained #pakistan #terror heaven declare
0,#gadot please put left turn signal williams ivan allen blvd this absolutely ridiculous #atltraffic
0,once thing feed naay raging something brother filling gaps
3,#haikuchallenge #haiku nthe crisp autumn air nmy freedom purchased death nno one mourn
3,honestly feel nothing towards either parents pretty depressing
3,could turn anxiety would #nooneunderstands
0,maybe provoke future want run risk punching board
0,karev better seriously done done #angry #unfair #ugh
2,but worry get glass guy bill
1,really excited november hope horrid chavs though
1,terrific game fazed #mcfc
0,threaten pussy
0,fucked coupon goal
1,reflection grind real working jobs amp school #ksudsm #ksu #recruiter #instructor #tumble #cheer #gradschool
0,aberdeen johnstone let see punt furthest #awful
2,stumbling block pessimist stepping stone optimist
2,listening joey really helps anger
3,the thing either unproductive unhappy deal videos badly
1,another joyful encounter tribez amp castlez met bartolomeo want know download game find
0,yes exactly amp sold country #terror #lying cover
3,woke #nightmare sleep took #useallthehotwatershower now time read
0,got tip drunk uber passenger today get parking ticket blame karma dumb ass forgot pay meter
1,the pats awesome belichick awesome #awestruck
1,david gilmour biggest compliment king asked gig born mississippi #pinkfloyd #theblues #davidgilmour #blues
0,seriously hope chances celtic missing going come back haunt alloa sucker punch
0,hate little girls got lot growing #fuming
0,after threw sedate with damn horse tranquilizer
2,like started college horrific probably get better don give yet
0,hey stupid bad intel take bin laden try faux outrage bet admire putin right
0,biggest fears incurable std pregnancy mean basically thing anyway #forlife #annoying #weirdsmells
3,howl moon next wednesday free double feature silver bullet cursed #horror
3,two blankets hoody still eternal sunshine mope
0,india wants #shake #hands pakistan usual pakistan #cheat every #indian shameless pakistan
0,the depth sunk you readership deserves
0,that exhilarating hockey they still russia wins regulation reading #fuck
0,wish stayed gump make panic like last rapper
0,projection perception see someone else you also level within #anger
2,actually maybe supposed die donation saved lives #optimism
0,follow #trump certified #bully question children may #war consumate #diplomat
3,tunnels shudder think grimy tweets
1,#disney #animated #musical #film #thelionking influenced #williamshakespeare #hamlet songs #eltonjohn
3,moment finish netflix series nothing else watch #depression
0,tired people telling worry fact probably never gave fuck
0,right passage comes word why insult church ignorant
3,sadly war often factor jump starts economic growth
0,when someone rudely says women long hair inner feminist tries rage
3,the animals animals ntrap trap trap till cage full nthe cage full stay awake nin dark count mistakes
2,slow anger better mighty and rules spirit takes city #bibleverse #pride
1,million box office doesnt movie justice political #snowdenmovie terrific thriller love story
0,why upping rooms makes apprehend leaving charcoal ownership unzu
0,yeah received fine today furious currently appealing member long
2,that grudge holding keeps making appearance #god wants deal
1,shock horror handicap dodger top close agg cup good think pressure get mark
1,girly sense always lashes amp nails done tomboy sense black color amp refuse ruffle life
0,from harboring osama bin laden relationship haqqani network enough evidence prove pakistan sponsoring terrorism
1,man know juggle balls n#funny #pun #punny #lol #hilarious
1,droop saw naked wrestling asked what get hole one #jaymohrsports
1,got #staystrong #smile #yourebeautiful
0,nothing else could possibly put damper day rays someone kickinnnnn ass breath
0,the concept gay magazine feels like cover terrible people gay voices seems upside
3,but easy ride child cries find find nothing nwe sullen misty moor
3,very thought provoking amp leads one question really happened very sad
3,migraine hangover day stood dishes exhausted gad depression amp chronic pain #anxiety #depression #pain
0,hour football practice boiling sun volleyball practice boiling sun again
2,that start season open show #show #them #how #dark #hell #can #get #empire
0,might leave aggravate bae
3,the joyful tambourines ceased the noise jubilant stopped the joyful lyre ceased isaiah
3,boyfriend forcibly stopped anxiety coping methods holding forcing hands kinda stuff
0,ended paying half tube smarties don even get pleasure popping plastic lid either
0,but internet age get mad proportion assume terrible worst little facts knowledge
3,awe feel bad naive worst
3,rooney whipping boy #mufc #sad
1,start buying death wish coffee shake hands espresso every
1,cheer
2,sure heyday
0,give keys back they house #shocking
0,#obamalegacy weekly #riots #terror attacks dead #syrians #jews fleeing #persecution europe #christian #genocide
3,drop snapchat names #bored #snap #swap #pics
3,#lestweforget yrs graduate trainee recruitment concluded #disappointed #weary however #wewait
1,happy birthday #cheerchick #jeep #jeepgirl #idriveajeep #jeepjeep #cheer
3,omg slow eng well hands shaking uhh help meee like lil chicken #moreisbetter
0,android app designed buggy work sporadically fire box
0,don provoke voke
3,bad fearing life
3,see difference courting appealing women deception amp pressure depressing
0,customer services got involved eventually completely wash hands #awful #dreamornightmare
0,look #massiah #youngleader n#pakistan #massiah #terrorism
0,this pretentious dick night gallery fucking used towel dry sink
0,another day another flight swear last ever flight you take love flying #easyjet #horrific #alwaysdelayed
3,sorry hear issues making feel like hear customers unhappy
2,fear truth even gloomy counterfeit berl katznelson
3,miss gran singing rawhide deep baritone growl
0,egyptian officials expressed frustration outrage obama hillary administration support muslim brotherhood
3,two major banking stocks almost highs benchmarks still close top sure #worry markets
1,batman animated series gift animation gods
0,control #avoidmmt guys #terrible
3,impress depress
3,care less #gotham watched since mid point season #horrible
0,yes bad point racism lest provoke racists some racists indeed like
0,just seeing alex revells face gets angry
0,dread think #dirtypeople
1,get going tag link please lot friends love following unintentional hilarity
1,addition fiction wish luck research paper semester pages boy #daunting
0,read article headline indicates horror story lock sick chavs throw away key
3,live life devoid mirth come think enough taco bowls life either
0,trying book holiday flights website becoming #nightmare
0,john kerry fckd chief justiceofpak made statement publicly party supporting terror else need#terrorstatepak
3,jeezus god #dark
3,realized anxiety time high office feel prisoned pick bad energy
3,scared present front class severe anxiety whats that sad sometimes get depression checked imediately
2,today impact signal afraid our engineers working resolved evening
1,dear evening absolute hilarity think laughed much long time
0,wtf united shocking defending
2,amateurs sit wait inspiration rest get work stephen king #authors #serious #writingtip
3,jesus wept another rns #rusty quote price sensitive news price sensitive news etc etc the #ramping
1,perfume smells like smell smokey incense would
3,personally liked #relentless get #ourhouse #onejersey #werealldevilsinside ndoes nothing till puck drops #njdevils
0,#scorpio always seek revenge
3,lmao awe #sad
0,appropriate first secretary permanent mission tasked demolition #terror state #pakistan like renunciation lies bit
0,meden frowning non existent face
1,dwts you make night every show
1,still shaking though
3,when arrive office day first ever festival internet #panic
3,drunk hid keys well sober find anywhere
0,they friend shake hand kick door thas way game
3,depressing darker much earlier
2,got asked hoco instagram someone lost bet love maturity people grade
3,say attract see maybe pessimist wanna take chances lol wait relocate
1,seriously digging eyebrows #animated
1,#taurus females beautiful sparkling jewels glowing moonlight
0,telling racist bigots always resort insult fag like worse racist bigot
1,watch amazing live broadcast #musically
0,the gay guy dad revenge fucking
0,listen someone tie like #awful
0,talk politics people nowadays get offended easily
1,she jogging bit stay beside puffing cheeks huff time jeez jasper
0,defend belt aldo hard grudge holding bitch
3,liked moping around episode she moment emotional weakness felt sorry
0,joke
0,now time remove team somehow screw rip band aid sting bit everyone get
1,gotta shake booty instead though makes sure good
0,they officially said episodes left future despair delayed
0,whaaaat hell jealous got paid fuck whole new level #love #conflicted
1,watch amazing live broadcast #musically
3,well evaluation came back minimally effective student test scores parcc sunk eval time quit teaching
0,the majority people irritate fuck cba people ahahah
1,omg actually thought going jump #southpark #southpark
2,never make #decision #angry never make #promise #happy #wisewords
1,watched great wall #hilarious
0,everything see american police training seems calculated trample human dignity inflame outrage escalate confrontations
1,#dhoni bcoz calmness match winning finishers proud #miltirian #dad#husband wonderful humanbeing #smile
0,the point voting trump push pieces board game like angry toddler wreck everything everybody
0,very rare officer shoots without regard they want conscience #incite
0,why broke boys keep tryna find get fuckin right smack bitchass deserves happy amp deserve ass
1,hey breezy wanna give coffee posted snap please
3,would great card crashes happened twice #nightmare
3,there nothing like shower power goes #creepy
0,blood mucus chokes swallow mirth cut short wrong answer takes awkward movements
1,moving weekend amp sugar daddy replace niggas still happy
0,joke pay data spain text say used data #terrible service
3,understand express emotions others may lead sadness loneliness amp neg impact long term #mhchat
3,sorry this heartbreaking scary happen happen anywhere please safe
3,got #teampaella presents way think arrive saturday sadly
2,cheerful heart good medicine crushed spirit dries bones wicked man accepts bribe secret pervert justice
0,the side effects #fighting #disrespect comes #ignoring person show #don tcare #sweet #revenge
3,#welfarereform model #snap
0,control #avoidmmt guys
2,truly feel like science ability make milk anything cashew milk hemp milk pine nut milk dandelion milk
0,team must draw hat daily personality #drugged #yeller #quiet #screamer
0,isis references scrubbed federal complaint suspect nyc bombings appears omit terror names bloody journ #news
1,free live music tonight #blues #moonshinesociety loft starting
0,espn assumed wanted free magazines
1,third year college student english major today first time ever written essay without panic attack
3,leave #sad
3,honestly know unhappy time want stop #itnevergoes
0,#real #sjw let #america found get let let #rage #lol
1,the neighbor dancing clayton homes commercial #hilarious
1,yuuuhh plus clin prevmed ugghhh hahaha
0,ended paying half tube smarties don even get pleasure popping plastic lid either #outrage
1,rooney whipping boy #mufc
3,horrid disease maternal grandmother sisters suffered affliction hard
0,side chick trying fuck like going forget wife done
2,praying #lord keep #anger #hate #jealousy away heart sign #maturity #conciseness
3,don get close dark inside
3,tried boiling takes years
2,loving talk #challenge #fear #map #inspiration #stayunstoppable
0,how hard get touch one simple question find answer website hour waiting online chat
3,seem alternate sleep full sleepless nights tonight sleepless one #insomnia #notfair
0,sam yes not helpful need sorting asap you keep promising stuff happen #fuming
2,just help maintain boost status world class centre education culture tolerance
0,just getting lost want see eyes hungary huffed crossed arms looking away angrily
0,apparently contact sofas meant delivered today old ones gone sitting floor sofas #fuming
3,nearly started crying full panic attack tatinof crowds feel
1,ffs tate thought wind willows serious play wait see play singing badger
0,congratulations free month activated then charges month absolutely furious
0,cop going pull gun reason threaten able merk ass walk away
1,jeezus god
0,need help anger
1,just got done watching jeepers creepers epic #horror #horrormoviesarebest #movies #movie #horrorfilm
3,tho talked jeff news sad shocking jeffrey
1,second day job already got dollar tip dude whose constantly twitching eye lololol #cheering
1,look smiling photograph you see secrets behind fake smiles fact fact life
3,weeks still depression smh
3,left #maine #sadness
3,where grapefruit squash gone able get weeks #unhappy
0,howl moon next wednesday free double feature silver bullet cursed
3,often disturbed people find appropriate acceptable funny cute adults find stuff humorous #sad
2,what worries masters haddon robinson #jesusisthesubject #anxious
2,love takes masks fear cannot live without know cannot live within james baldwin
0,#anger issues #lying issues think one #pow #lies #confusion
3,when doe run opposite side
0,worst juror ever michelle you nicole biggest threat #bitter #bb
0,stupid hate lol #bitter
3,people trying hard hate cam newton without understanding position #sad
0,angry shouting match #pessimist amp #optimist you half empty headed you half full
1,enliven soul
2,now next hour waiting #ourgirl start
0,god brewer the horror horror
0,fucking hell rush damn train also use fucking min wait still sweating #smrtruinslives
0,angry
0,love people say racist right say racist shit not works #fuming
2,sometimes think british political landscape desolate look foaming wasteland think
0,you two ten times interesting particular afternoon goofballs could say worse #umbrage
3,was there clown your neighborhood #creepy #enoughisenough
1,ehhh guess want everyone ever burst laughing front
0,boss likes stand office amp smile like shark maliciously gleeful ask secret tell
3,#amwriting #horror dark loud creaking door noise coming kitchen there doors creak wtf
0,anger acid harm vessel stored anything poured #anger mark twain
0,guys determine teams cause shitty teams play fuckin #cod
0,offering moth warranty #ps pro #truth #ripoff
0,diver named steele johnson like barred olympics
3,and #restless
0,give gas hate respect rudeness #bully
0,whats boxes search google chrome #distracting
3,when wake scroll social media another father taken child #everyday #keithlamontscott
0,buzzing pathetically sympathy let twirl moustache chuckle sting #psychowasp
0,terrible
0,surrounded trump voters you right fucking terrifying #redstate
0,democracy work #mob #mentality #mass #hysteria #mongering #oligarchy
3,can get shot lingys face time pretty sure would red hair #pretendinghesok #ruok #aflcatsswans
1,give smiling emoticon dont like idea frowning
0,indian uber driver called someone word moving vehicle jumped #disgusted
0,welcome sorry words irritate
0,asian tiger #mosquitoes relentless more aggressive kind dealt kid
0,goddamn headache #anger
0,never forget live cancelled programs allow extend people could call detail outrage behaviour
0,glad watch smackdown see men lose #sohurt #revenge
0,#lmfao #racepimp tamron hall used words fscts msnbc sentence #libtard #biasedmedia #neverhillary
0,hate guys cant control anger
1,just caught wonderful new series #ealingcomedies infectious delight every interview film clip
0,rangers celtic #revenge
0,unless concern people figuring wtvr reason see tweet things
0,these interviews scare crap never imagined many dumb dumb americans
1,omg kissed
3,gabe worst part get hot status month chipotle near enough campus #sadness
0,lot would give ghandi road rage
0,being forced fake hug someone flinch get litigious past #awful
0,#worst exec complaints ever #horrific customer journey
0,the ghost stefano reflects grim indignity murdered corrupt cops faux love #days
0,#bully #bullshit #fullofshit please take #garbage
1,looks completely #rabid
0,always little bit weary speaking want hijack convo lgbt person seen
0,shameful display watched today left reeling much anger feel like exploding clowns watch
1,elated celebrated like obama waited last day office tell nation brothers getting reparations
3,offend weird
3,hit sink hammer sorry universal modifier
0,received verification email asked resent times still nothing
0,would get decent referees #shocking
1,forget hair salon looks light amp cheery would coffee amp read book
0,nif room burning
0,candy corn greatest candy world comes objectively terrible
0,you insult late sherri martel
0,hate start conversation one
0,yes hun avoid costs
2,when grown adult drink never drank assume raised around raging alcoholic want parts
1,happy may keep haunting many years #horror #writing
0,#terrorism way life united etates #islam brought #islamexposed #islambacon
1,watch amazing live broadcast #musically
3,mourn creativity lost
3,take deep breaths shaking could adrenaline wow weird depending regular varies
3,sorry guys absolutely idea time cam tomorrow keep posted
3,nooooo poor blue bell
0,honorable senator cheering cease fire hold people die and you cheer genocide support not good
1,professor introduce say one interesting fact nhi ethan sun engulf planet fiery explosion one day
3,ignored broken tooth long abscess need dentist #fear makes hard still dentist
0,know worse new pizza hut commercials pizza pizza hut makes #horrible
0,hooked backward not recommended #smoke
3,follow girl tiff got followers
1,getting excited play main stage sunday oct #jazzholiday #riesbrothers #rock #blues #jam
0,love megan raging kendall jenner photo sat like
0,think #anger barrier truth
0,new play tonight pretty much blind run only played game maybe got levels #rage
1,yes rejoicing
