text,target,emotion
school photo honestly horrid look ew,3,sadness
archives strikeforce champ ronda rousey chirp church mayhemmiller naked rip rondarousey twitter,3,sadness
user really sad shame,3,sadness
fact presidential candidate speaks way trump alarming thought higher peers fdt,0,anger
started watching glee week addicted glee gleek,1,joy
user multimillionaire spoiled brat gets self righteous huff bc friend muslim non starter bye,0,anger
user offense can't score redzone trips points n lbs can't pull flags n missed flag lead td dat took da league,3,sadness
cuz even bible talks son coming back fiery sword got mother called whore revelations,0,anger
internationaldayofpeace white supremacists terrorize everyone differing cultures online continue offline tomorrow,0,anger
worst juror ever michelle nicole's biggest threat bb,0,anger
sorry guys absolutely idea time i'll cam tomorrow keep posted fuming,0,anger
sunk i'm meeting twins,2,optimism
revolting,0,anger
user user interestingly shocking sad american judiciary seriously flawed,3,sadness
user made laugh quote sort rueful way,1,joy
omg grateful education ive back school two days back hurts im exhausted breaking already,1,joy
stuck infuriate scrum hegemonists scrum scrum stuck,0,anger
user much room,3,sadness
user something cyber bully would say,0,anger
user grim fuck going dame fucking clowns takeing gameing channel way nj would delete,0,anger
people often grudge others cannot enjoy,0,anger
repchriscollins spins excuses hatred racism everyone america heard trump say whitesupremacists goodpeople msnbc,0,anger
val got little big hiking boots bakewell little terror gbbo,1,joy
what's nicest way tell someone cheerfully whistling outside apartment door end continue whistle,0,anger
pissed hate losing montrezl harrell meteorologists impressive pick,0,anger
user one one u threaten violence phedophiliac u support constitution violations proposes,0,anger
user hell hot boiling isi ewu,0,anger
user user lmao awe sad,3,sadness
nawazsharif confesses pakistan supports terror unga n burhanwani,0,anger
user yea forcing turnovers holding pretty good offense points concerning oh wait,0,anger
user happy birthday big man,1,joy
user user agree user lower intelligence would message dreadful,0,anger
regret things tempered time regret things inconsolable - sydney j harris,3,sadness
literally feels sg happy sam,1,joy
beginning process see working option mentalhealth complexptsd nervous,3,sadness
user broke snap great analysis cnbc,1,joy
love instagood photooftheday user photoeveryday cute picture beautiful followme happy follow fashion pic picoftheday,1,joy
user feel sick reading end dread civil war sad,3,sadness
guess bradangelina gt anger gt blacklivesmatter,0,anger
chelsea united must furious,0,anger
music empowering nit literally bring people tears smiles laughter many emotions,1,joy
step comfort zone ngo risks nface things fear n nthis life starts happen n n cpd,2,optimism
wow need start sif im prob gonna die,0,anger
loving user user talk challenge fear map inspiration stayunstoppable,2,optimism
come funeral tomorrow mourn death gpa,3,sadness
user whaaaat oh hell jealous got paid fuck whole new level love conflicted,0,anger
respond email within fays wifl killed animated gif girl ring,0,anger
user user user 'felt soul' hilarious,1,joy
think cadres getting src deployment would make cadres bitter ku tough macom,0,anger
boy play n play dull kes,3,sadness
wtf wrong u pldt,0,anger
red sox fans mad onhere - almost like star relief pitcher st baseman left injuries game,0,anger
presume richness poorness bring happiness - santosh kalwar quote mentalhealth psychology depression anxiety,3,sadness
user regardless lets say permit permit excuse allow threaten officer expressed implied w,0,anger
sigh saddness afterellen shitsucks,3,sadness
user gaming sites leaned ps heyday leaned last gen gen started vitriolic mostly,1,joy
remember identity christ give sting rejection christ done scars prove,2,optimism
manchester derby home revenge,0,anger
meeting olympic house golds relentless neverquit believe dreambig teamtto going gold,2,optimism
another day another flight swear last ever user flight take love flying easyjet alwaysdelayed,0,anger
countryside day pleasing,1,joy
bet user fuming draw,0,anger
user better really stupid worry,2,optimism
began squirm beneath user struggling get relentless grasp realized attempt useless,3,sadness
rin might ever appeared gloomy melodramatic person thing n nbut honestly missed old friend special one,3,sadness
feel horrible accounting today physically mentally okay,3,sadness
user sadly sort poster died afaik,3,sadness
flatmates provocating pine pollen man,0,anger
icq making mad icq,0,anger
think nuclear weapon cyber weapon big threats think bigger threat scalar weapon n scalar threat,0,anger
rejoice birth grieve funeral person involved mark twain,2,optimism
yo there's kid snap chat la amp get high helium gas lmao like fuck lol,1,joy
user today impact signal i'm afraid - engineers working resolved evening,2,optimism
says teufel 'reassigned' within organization next year wish sooner mets thirdbasecoach lgm,2,optimism
prepare suffer sting ghost rider's power prepare know true meaning hell,0,anger
worry makes look problem god makes look promise problem promise worry fear faith god theanswer spiritu,2,optimism
tore nd meniscus months fuck accomplished seriously reaching maniacal laughter pain wtf self -ness,0,anger
user user yeah actually supports tweeted thread initially article's righteous indignation,2,optimism
user klitschko user fury day boxing,0,anger
user fix home away deptch chart invalid glitch close madden re-open everytime happens,0,anger
user user force neighbours pay people nerve outrage victim,0,anger
user let sink,3,sadness
lunatic asylum place optimism flourishes,2,optimism
user amp user 's summerof show raw sexuality pure mirth thanks belly laughs butt sex japes,1,joy
bright cold day april clocks striking thirteen george orwell,1,joy
matty dawson scored,0,anger
user see difference courting appealing women vs deception amp pressure depressing,3,sadness
bout ta get user user icantholdmybreaththatlong,1,joy
user jerrrrrr woman stabbed face guys r arguing ass real hehehee,0,anger
nightmare nearly gang gang gang,2,optimism
user cool would user animated scene,1,joy
people concern enjoying seeing people miserable,3,sadness
' goal scorer vidar kjartansson comes favor dor micha another terrific performance user yallamaccabi,1,joy
last years u averaging terrorist attacks month good debate topic trump hillary terror,0,anger
user turning surprised late work fuming,0,anger
user never thought angry oompa loompa would boggart boggart presidenttrump nightmare,0,anger
yeah tonight time weekend mix user user user set alarm pm house deephouse ibiza,1,joy
confiaejce comes always right fearing wrong -peter mcintyre,2,optimism
filled sophisticated glum,3,sadness
bored rn leave kik snapchat kik kikme kikmessage boredaf bored snapchatme snapchat country countrygirl,3,sadness
hope smiling laughing soul user love much person n n,1,joy
user electro set pure enjoyment amp exhilarating captivating amp poetic raw exciting,1,joy
im thoroughly love w zen jumin dont think id even patience either irl im old weary,1,joy
dear indians hard swallow try swallow bitter pill pakistan number one test cricket,2,optimism
south bend quad cities river bandits leading sb cubs - organist v fond 'master house' 'les miz ' sadly,3,sadness
hmu snap i'm like one,0,anger
user said apple pie naughty really want chris user say 'but cream pie is' naughymind rage,0,anger
anxious know worry slowly going mad hahahahahahahahaha,1,joy
user sensible terror attacks parnab da,0,anger
user disabled access pontefract monkhill terrible,0,anger
watch amazing live ly broadcast user musically,1,joy
white people irritate,0,anger
tomorrow interesting info released away priority amp canalside membership outrage htafc,0,anger
user right choice slam one ignorant man really resent statement king embarrassment,0,anger
user taken granted misogyny air treated normal angry response pathological,0,anger
user user live life devoid mirth come think enough taco bowls life either,3,sadness
user user due hearty lawsuit nascar raise beer prices accommodate losses,0,anger
interesting briefing evening learn shape housing policy epsom amp ewell upto user cllrs absent,2,optimism
rewatching 'raising hope' hubs time totally forgot hilarious herewego,1,joy
' dearly beloved avenge rather give place unto wrath written vengeance mine ' romans v,2,optimism
shake mouth chattering take right body trembling went outside,3,sadness
user even knew eu could vindictive,0,anger
user poor angry justly offer people hope god anyone see education elite,0,anger
talk politics people nowadays get offended easily,0,anger
user seriously digging eyebrows animated,1,joy
user yeah i'm sure depressing talk parents phone instead talking downstairs,3,sadness
user can't make crap therefore response,0,anger
worry leads tension pressure prayer leads peace,2,optimism
dude go way irritate that's go way give pussy,0,anger
great got discover amazon prime day deal regular price,0,anger
user cum despair,3,sadness
fake outrage y'all need stop,0,anger
oh death sting,3,sadness
user user ms btw lied remain dry remainer tears accept lost,3,sadness
hey user imwearingyourshirt today humbleandkind awesomeness timmcgraw wqmx user user user,1,joy
two major banking stocks almost highs benchmarks still close top sure worry markets,3,sadness
solar eclipse really cool inspiring,1,joy
user user user user user read ot pauline epistles countless horrid rules,3,sadness
much world make us afraid much faith make us unafraid,2,optimism
family stuck crappy options thanks user worst airline furious,0,anger
thought joke sad anyway biwott,3,sadness
user user user user user bitch played every role ever exactly dull,0,anger
wish unlimited glee episodes could watch forever gleegoodbye,1,joy
user reminds us amp early 'i'll pinot grigio' still makes us shudder,3,sadness
trial result sadness,3,sadness
damn gud premiere lethalweapon funny,1,joy
came work today hours late st thing hear 'ma'am big boss waiting office ' panic hatebeinglate,3,sadness
ima kitchen sink,3,sadness
user user user haha bro sadly married man,3,sadness
strong hands moving firmly grope user thighs squeezing digging nails extract growl,0,anger
user user wow heard forever random great sting xph,1,joy
love u much u always get angry,3,sadness
bright side music theory teacher pocket dabbed said 'i know what's hip ' walked away,1,joy
angelina jolie can't keep man one today mourn love dead,3,sadness
one tweet coming weeks we'll continuing threaten various bluetick dipsh imprisonment socialist government,0,anger
fun today mad museum stratford upon avon,1,joy
user wondering earlier much npd rage slung jr he's cocky usual lol hopefully lot,0,anger
finn singing 'can't fight feeling' shower spying one best scenes show,1,joy
user user they're pretty awful look historically,0,anger
im want see dick snap kik hiya kik kikme snapchat snapme horny porn naked young,1,joy
angry austrian front even angrier,0,anger
depressed today bitter sweet watching kids go back school made really miss babies i'm broke backtoschool,3,sadness
playful hardly stay one spot,1,joy
user mr president hell hath fury like democrap scorned offer alternatives obstruct that's,0,anger
remember kid flipped bottom shirt make pouch put snacks times snacks,1,joy
hartramsey'suplift still discouraged means listening wrong voices amp looking wrong source look lord,2,optimism
survived spin trying get stairs hilarious tho jellylegs,1,joy
watch amazing live ly broadcast user lively musically,1,joy
user jeezus god,1,joy
look massiah youngleader n pakistan massiah terrorism,0,anger
user r p friend cant get head round devastated x,3,sadness
user omg savage prof hilarious,1,joy
world facing terrorism terrorist's school exist terrorist's teacher amp father terrorist's motherland,0,anger
fuck even that's fucking horrific,0,anger
user think daunting fact typical offer grades even though proven case exactly,0,anger
user stop presses user said proposed something racist shocking,0,anger
user terrorism way life united etates islam brought islamexposed islambacon,0,anger
cheerful heart good medicine crushed spirit dries bones wicked man accepts bribe secret pervert justice,2,optimism
user leave,3,sadness
metro lrt went walterdale yeg levity,1,joy
hell drilling outside house literally got sleep half four busy shift twats woken,0,anger
user omg horrific something needs done,3,sadness
faith like oil fear like dust easily blown away,2,optimism
user bullies rudeness littering make mad,0,anger
heyyyy warriors anxiety panicattacks,3,sadness
well hear girls attracted men look like dad,1,joy
user yeah terror packed terror supported speech,0,anger
user bully second grade classic,0,anger
user somebody needs tell staff reading cappuccino supposed thick layer foam coffee hot awful,0,anger
head hurting,3,sadness
user step get rid user step prioritise football step profit depressing,3,sadness
moment day start plaster smile face depression,3,sadness
every one concept try cram brain feel like i'm pushing three panic,3,sadness
making yearly transition excited hopeful college returner sick exhausted pessimist college,3,sadness
could soul-crushing despair also might marshmallows breakfast,3,sadness
one day someone change ur perspective bitter sweet broken complete,2,optimism
user depressing,3,sadness
can't mourn kid cudi cause travis scott,3,sadness
omg someone asked sit reluctantly moved huff biiitttccchhhhhh,0,anger
received award work today mean need go stage i'm good thanks let work stagefright shaking,1,joy
user joke,0,anger
know expect brendon's video lmao la devotee video got shook,1,joy
watched django unchained people may frown titter delight,1,joy
user unfollowed without hesitation lt,0,anger
shall rest day fiery gleam night,1,joy
happy birthday day trip great day super nice weather blue sky good mood fun love ice cream lycklig f delsedag land,1,joy
love people say racist right say racist shit works,0,anger
guys irritate,0,anger
user lives attached real estate shall come trash cameras i'm angry race,0,anger
user 'busted' bc spoke w russian lawyer he's world bizman outrage bc user honeymooned,0,anger
boss said another girl leaving 'i hope new job shit ' pathetic hence people leaving droves,0,anger
offended many people idea conflicts value judgments separate need talk,2,optimism
think i'll eternally irritated lit teacher,0,anger
saddest part messing legs ankles miss heels fg giant fun sadness,3,sadness
ato hacking phone calls text messages privacylaws invasion knew hearing get approval,0,anger
every day think house burning always neighbor burning toast,1,joy
find way top,2,optimism
pm sheikhhasina user speech terms terrorism global challenge urges world leaders work together unroot everywhere,2,optimism
blame gloomy weather,3,sadness
seriously hope chances celtic missing going come back haunt alloa sucker punch,0,anger
million box office doesnt movie justice political snowdenmovie terrific thriller love story user,1,joy
sigh got b- depressing,3,sadness
radio told lady gaga going country like beatles decided opera singing final albums,1,joy
projection perception see someone else also level within anger,0,anger
theo's comment end one tyla horrid loveisland,0,anger
saw t-shirt phrase 'my mind dangerous place be' would like buy italy sell sadness,3,sadness
user placed order nearly grand six weeks ago called yesterday order 'missing' call back today shocking,0,anger
recommended reading prisoners hate aaron beck anger,0,anger
user joke pay data i'm spain text say i've used data terrible service,0,anger
getting offended furious writers style taste ultimately daft suppose,0,anger
user oh ok yeah felt dumb like think would known animated least lmao,1,joy
user earth send email annoyed customer fuming,0,anger
looking phone prices online saddens even,3,sadness
user canada driving force democracy freedom rights - instead help dictator misogyny sharia islam polygamy,0,anger
national dont use blinker day something wtf,0,anger
need help anger,0,anger
drop snapchat names bored swap pics,3,sadness
user user really need better source info avoid fake news clouded even obvious,0,anger
terror attacks india means something ominous pakistan current situation can't last long,0,anger
user butter walls nightmare,3,sadness
really knowledgeable really petty delight behold,1,joy
ultimately keithscott man hand arrest warrant that's know that's enough cause outrage,0,anger
user happy birthdayyyyyy pretty miss,1,joy
user let's rage,0,anger
elle delicious dark perverse work intrigue streaked cruel humour superb performance isabelle huppert one elledvd,1,joy
user user sorry offend u griffin,3,sadness
talking last week outside appearance ie dread locks affect ability work,3,sadness
user user fight guy insult lions like seriously kinda wasted best players,0,anger
tweeting sporadic wifi tube perilous,1,joy
user unga talks carried pakistan mouth stinks terrorism uriattack,0,anger
want know laughing solemn occasion that's always laughing vss,1,joy
user thought provoking amp leads one question really happened sad,3,sadness
year keeps getting depressing disappointing,3,sadness
americans think media nothing government propaganda bs lies control bs riggedsystem distrust garbage oreillyfactor,0,anger
user happy birthday beautiful kylie,1,joy
mom asked wanted acrylics amp said 'no never know someone gon let tickle pussy' deeply offended lbvs,3,sadness
name john locke can't tell can't lost,0,anger
user user user watching totalsolareclipse ur channels right amazing what's happening usa,1,joy
hmmmm seems punters vote cup followers punters track disappointing,3,sadness
sometimes like talk sadness times want distracted friends laughter shopping eating n n mhchat,3,sadness
strapless wedding dresses look awful people njulianne hough looked great,1,joy
hard stifle laughter overheard comment really amazing worst ways,1,joy
user september really,3,sadness
libertyseeds realdonaldtrump lizcrokin great start maga,1,joy
user would get decent referees shocking,0,anger
hey user fields skibbereen give online delivery service horrible name hours late hour delivery window,0,anger
saved ordering risk life panic stayed calm rescued,2,optimism
michelle nothing hating nicole's game hahaha bb,1,joy
bcuz photoshopped pic chanbaek lea gonna get kicked house tragic heartbreaking,3,sadness
hey user happened strawberry black current ones,3,sadness
user never good experience e fort ave location never learn love chipotle terrible badservice,0,anger
user loving,1,joy
problem yes something worry,2,optimism
light dark night day smile cry,2,optimism
call sick line hysterically crying awkward anxiety depression prob gonna get fired lol,3,sadness
swear god husband gonna get us murdered someone road rage drives like he's indy,0,anger
watch amazing live ly broadcast user musically,1,joy
found peraon liked wanted someone else sadness,3,sadness
user thank much promila aunty,1,joy
putin feels acceptable bomb amp kill aid workers soon may sitting table trump armageddon usapleasedont,0,anger
user coffee n nnow something else worry,3,sadness
user i'd whip cake batter cookies amp throw bakewell frangipani made almonds,1,joy
source n n mindset philosophy thoughtsbecomethings news lifehacks life pleasert problemsolving,2,optimism
user worry froggy nit soon time frogfearfriday,2,optimism
worship feet nwhere wrath mercy meet nand guilty world washed nby love's pure stream n graham kendrick,2,optimism
goals big scare small minds,2,optimism
user user gleesome threesome,1,joy
user user evil rich white men fucking cronies intelligence gov academia using blithe blacks fodder,0,anger
user get either bits started drooping droop gp said mooncup alone blame,0,anger
makeup going sale nbut ain't got funds heartbreaking,3,sadness
user strange amazing love pictures,1,joy
user quite simply worst airline worstairline i've ever used shocking appauling dire dismal beyondajoke useless,0,anger
people hit try shake talking hide communism,0,anger
user user dreadful franglaise,0,anger
user i'm serious - july singapore holiday accompany friend job interview one friend,2,optimism
user user wat irony pakistan lecturing world curbing,0,anger
mean supposed seem joyous talking rodrigo duterte isis american economy etc think saying,0,anger
see one lakshmi ex enrage i'm kill someone,0,anger
take horrible dick pics user,0,anger
taking time busy catch great american eclipse really incredible see even partial view view,1,joy
teacher attempting teach without inspiring pupil desire learn hammering cold iron horacemann,2,optimism
yukwon video zico world shaking,3,sadness
user 'i spent looking want look like kardashian give even give f k dad' omfg hilarious,1,joy
recording fnaf facetime mum let know okay let high pitched scream horror suchagirl,1,joy
good morning tuesday crap today please tantrums toddler cuddly struggles pma,2,optimism
im gloomy today,3,sadness
user hatred left ought concern everyone----who wants police state-the left spy us,0,anger
wonder wolfcreek tv show sponsored anti-tourist board australia discourage visitors stayathome dontvisit,0,anger
vegas,1,joy
user user user wrong needed levity recording,0,anger
user send fr jaygerrr i'll smoke madden comes,0,anger
also amazon prime would like help girl lol serious,1,joy
user homyghad,3,sadness
offense team cap civil war understood tony's reasoning,2,optimism
happy nationalfrenchfryday although i'm fried thing like frie beautiful thursday,1,joy
user ciara asks sci-fi movie julie amp jen stare claire phone joey bolts cab honks lmao hilarious,1,joy
user user philippines,1,joy
user user shut hashtags cool offended,0,anger
burst tears bc friend told another friend would help studying kind wtf wrong,3,sadness
user sad there's always optimism new year good user user,3,sadness
first day fall quarter tomorrow excited anxious blargh,1,joy
user i've left dad deal work done soon felt wrath slipper,1,joy
happy birthday annie hope best beautiful blessed brilliant balsamic bighearted birthday ever user,1,joy
fear unsettling demons inside let conquer weakest nook soul provenance power,2,optimism
user user selfie seven months ago look top left snap people,1,joy
nawazsharif says lets end terror sure let indianarmedforces target bases without pakistan interference karma,0,anger
excitement weekend pure dread,3,sadness
genuinely think anger issues,0,anger
user user trump supporters clue meaning words used like nevertrump,0,anger
user user shirt arrive today promised even pre-ordered june make complaint,0,anger
could talking catfish tinder glad use seriously,1,joy
user offend weird,3,sadness
nervous tomorrow's origin game remember decider next year 'biggest game time',2,optimism
user video n,3,sadness
probs spent grand total five minutes sober since sunday evening freshers,1,joy
user meaning offend saying personal experience kids got placed classes take advantage,2,optimism
heard thought ether ex posted facebook pic snuggling said cats im angry,0,anger
ghost stefano reflects grim indignity murdered corrupt cops faux love days,0,anger
user really want fabinho lol,1,joy
user take deep breaths bc shaking could adrenaline oh wow that's weird depending regular varies-,3,sadness
haikuchallenge haiku n nthe crisp autumn air nmy freedom purchased death nno one mourn,3,sadness
user user since someone break chromecast macbooks pls -we despair days wasted trying make work,3,sadness
exhilarating last minute overtime wch,1,joy
i'm saying might like big foot might like natural biological father says blood boiling cross,0,anger
amarnathterrorattack user user cn u plz ans wt u r afrd wt stpng u end terrorism wn whol india stndng wth u,3,sadness
bloods boiling,0,anger
although laugh act like clown beneath mask wearing frown tears falling like rain sky,3,sadness
user haha sorry grim even disturbed amp im starting lose trust twitter generally,0,anger
finally tell therapist sexuality last frontier sure fear singlegirlproblems,3,sadness
user user user user user awe feel bad naive ou worst,3,sadness
user shocking service call centre staff evening transfer cut waiting forever speak someone,0,anger
sorry main twitter im depress,3,sadness
much time give friend lost laptop mourn ask give laptop charger extra battery,3,sadness
happy birthday panderific panda ik theorionsound hope amazing day oli love u much ur vids make,1,joy
bonnieraitt made feel feels favorite,1,joy
really want mom go back home gutted crying miserable,3,sadness
can't mine forlorn,1,joy
smokeys dad sad,3,sadness
democracy work n mob mentality mass hysteria fear mongering oligarchy,0,anger
people always afraid stodgy squares would kill rock roll legitimate threat ever child choruses,0,anger
user user go ahead amp coon would love see get hit man bet find funny blackhatematters,0,anger
user user awe love twooo come adventure someday,1,joy
eft single effective tool i've learned years therapist-dr curtis steele psychiatrist stress anxiety,3,sadness
user hey lost credibility also told,0,anger
user user miss outrage,0,anger
thx user hosting us user boys user user user great nite,1,joy
user ring ring depression,3,sadness
user idea exhausted tidying room burst crying fs,3,sadness
fucking bright amp fucking hot outside,0,anger
user city famous shambles sadly old street centre plays second fiddle stadium debacle nowadays,3,sadness
yo gurls dm tribute snapme dm nudes tribute cumtribute cock snap cum swallow,1,joy
horribly gloomy rn im flourishing,3,sadness
watch amazing live ly broadcast user musically,1,joy
every time think abt hobi crying start crying,3,sadness
wtf shawty ass,0,anger
anytime user gets near mic someone needs smack w bat user awful marblesinmouth,0,anger
user looks completely rabid user,1,joy
user know know u physiatrists seriously number one best thing people anxiety,2,optimism
user fmf protesters interested reasoned debate intimidation violence amp disruption get demands met,0,anger
watch amazing live ly broadcast user musically,1,joy
probably worry people think us could know seldom,2,optimism
someone cheer,1,joy
question cheerleaders ages nhow make senior year cheer memorable,1,joy
exhausted could cry,3,sadness
night room polluted syringes notebooks shadows moving kind night away melancholy away,3,sadness
feel skull shatter dull chatter nbrain spattered wall ngrey stains dissolve nnow paint,3,sadness
user looking back recent tweets seen one right great perfect hilarious speechless deal,1,joy
